BJD - 2454833, Corrected Flux,
2146.452489051, 1.000409525,
2146.513785360, 1.000295572,
2146.534217562, 1.000208064,
2146.554649563, 1.000182553,
2146.575081664, 1.000185196,
2146.595513865, 1.000210197,
2146.615945865, 1.000128677,
2146.636377964, 1.000214732,
2146.656810063, 1.000345287,
2146.677242162, 1.000287312,
2146.697674359, 1.000141718,
2146.718106357, 1.000150995,
2146.738538454, 0.999886473,
2146.758970650, 0.999917280,
2146.779402746, 0.999916317,
2146.799834742, 1.000061771,
2146.820266937, 1.000245740,
2146.840699031, 1.000250969,
2146.861131025, 1.000164486,
2146.881563219, 1.000157619,
2146.901995312, 1.000124457,
2146.922427304, 1.000175114,
2146.942859496, 1.000285005,
2146.963291588, 1.000434423,
2146.983723578, 1.000190791,
2147.004155769, 1.000200434,
2147.024587859, 1.000161044,
2147.045019849, 1.000110990,
2147.065452037, 1.000086366,
2147.085884126, 1.000101745,
2147.106316214, 1.000158762,
2147.126748301, 1.000061314,
2147.147180389, 1.000084487,
2147.188044561, 1.000129869,
2147.208476647, 1.000123566,
2147.228908832, 1.000031924,
2147.249340916, 0.999993788,
2147.269772900, 1.000020516,
2147.290205084, 1.000076504,
2147.310637167, 1.000112939,
2147.351501332, 1.000115564,
2147.371933313, 1.000017433,
2147.392365394, 0.999948075,
2147.412797575, 1.000075041,
2147.433229555, 0.999869686,
2147.453661634, 0.999925214,
2147.494525792, 0.999972069,
2147.514957870, 0.999783695,
2147.535390048, 0.999644877,
2147.555822025, 0.999571992,
2147.576254102, 0.999787220,
2147.596686278, 1.000032583,
2147.617118354, 0.999918322,
2147.637550329, 0.999906150,
2147.657982504, 0.999787047,
2147.678414578, 0.999918680,
2147.698846652, 0.999649101,
2147.719278725, 0.999785272,
2147.739710797, 0.999873366,
2147.760142970, 0.999867684,
2147.780574942, 0.999849024,
2147.801007013, 0.999808819,
2147.821439184, 0.999951765,
2147.841871154, 0.999828888,
2147.862303223, 0.999866790,
2147.882735393, 0.999799448,
2147.903167362, 0.999686831,
2147.923599430, 0.999749450,
2147.944031598, 0.999721908,
2147.984895632, 0.999733010,
2148.005327798, 0.999804908,
2148.025759764, 0.999788305,
2148.046191830, 0.999847750,
2148.066623995, 0.999812398,
2148.087056059, 0.999668993,
2148.107488023, 0.999913952,
2148.127920187, 0.999823164,
2148.148352149, 0.999761435,
2148.168784212, 0.999723876,
2148.189216374, 0.999762450,
2148.209648336, 0.999780014,
2148.230080397, 0.999661862,
2148.250512557, 0.999643041,
2148.270944517, 0.999726158,
2148.291376677, 0.999692047,
2148.311808735, 0.999501999,
