BJD - 2454833, Corrected Flux
2307.550152908, 0.995069293,
2307.570584876, 0.994918903,
2307.591016944, 0.994895060,
2307.611448812, 0.994705430,
2307.631880779, 0.994718787,
2307.652312846, 0.994605980,
2307.672744712, 0.994448514,
2307.693176678, 0.994471084,
2307.713608743, 0.994117792,
2307.734040608, 0.994388789,
2307.754472673, 0.994199032,
2307.774904637, 0.994172323,
2307.795336501, 0.994192567,
2307.815768565, 0.993898999,
2307.836200528, 0.993986714,
2307.856632391, 0.993873405,
2307.877064453, 0.993788275,
2307.897496416, 0.993860054,
2307.917928377, 0.993717653,
2307.938360339, 0.993580244,
2307.958792300, 0.993514126,
2307.979224260, 0.993608605,
2307.999656220, 0.993450699,
2308.020088180, 0.993561017,
2308.040520139, 0.993266255,
2308.060952198, 0.993416519,
2308.081384057, 0.993435973,
2308.101816115, 0.993100261,
2308.122247973, 0.993357127,
2308.142679930, 0.992987554,
2308.163111987, 0.992978003,
2308.183543844, 0.993043827,
2308.203975800, 0.993192324,
2308.224407856, 0.992991982,
2308.244839712, 0.992813535,
2308.265271667, 0.993037852,
2308.285703722, 0.992747249,
2308.306135576, 0.992792481,
2308.326567530, 0.992923857,
2308.346999584, 0.992798458,
2308.367431437, 0.992565391,
2308.387863390, 0.992730479,
2308.408295442, 0.992688795,
2308.428727394, 0.992457822,
2308.449159246, 0.992586834,
2308.469591298, 0.992579827,
2308.490023249, 0.992614946,
2308.530887149, 0.992468729,
2308.551319100, 0.992406114,
2308.571751049, 0.992537644,
2308.592182998, 0.992408492,
2308.612614947, 0.992461337,
2308.633046995, 0.992318294,
2308.653478843, 0.992490731,
2308.673910791, 0.992251104,
2308.694342838, 0.992113018,
2308.714774685, 0.992311214,
2308.735206631, 0.992373829,
2308.755638677, 0.992349085,
2308.776070523, 0.992211783,
2308.796502468, 0.992288335,
2308.816934513, 0.992228097,
2308.837366358, 0.992011061,
2308.857798302, 0.991984289,
2308.878230346, 0.992260822,
2308.898662189, 0.992107028,
2308.919094232, 0.992164434,
