Radius(pc) TotalMass DiskMass BulgeMass 
0.00 0.00 0.00 0.00 
1.00 21915.67 3.47 21886.12 
2.00 70542.50 17.31 70428.25 
3.00 162623.35 48.43 162333.84 
4.00 307319.91 103.68 306736.37 
5.00 511998.73 189.91 510976.24 
6.00 782773.07 313.96 781142.18 
7.00 1124807.22 482.62 1122375.19 
8.00 1542515.81 702.68 1539067.72 
9.00 2039704.32 980.93 2035003.94 
10.00 2619672.89 1324.12 2613463.54 
11.00 3285295.76 1738.97 3277300.97 
12.00 4039083.61 2232.23 4029007.79 
13.00 4883233.48 2810.58 4870762.53 
14.00 5819669.58 3480.73 5804471.35 
15.00 6850076.93 4249.34 6831801.75 
16.00 7975929.53 5123.08 7954210.66 
17.00 9198514.27 6108.59 9172968.28 
18.00 10518951.23 7212.49 10489178.41 
19.00 11938211.21 8441.39 11903795.94 
20.00 13457130.90 9801.91 13417641.96 
21.00 15076426.11 11300.61 15031417.00 
22.00 16796703.33 12944.07 16745712.60 
23.00 18618470.01 14738.85 18561021.51 
24.00 20542143.56 16691.47 20477746.72 
25.00 22568059.43 18808.48 22496209.50 
26.00 24696478.24 21096.38 24616656.56 
27.00 26927592.27 23561.67 26839266.48 
28.00 29261531.23 26210.83 29164155.48 
29.00 31698367.43 29050.34 31591382.61 
30.00 34238120.54 32086.65 34120954.47 
31.00 36880761.82 35326.20 36752829.44 
32.00 39626218.03 38775.44 39486921.59 
33.00 42474374.94 42440.76 42323104.18 
34.00 45425080.57 46328.59 45261212.87 
35.00 48478148.11 50445.30 48301048.67 
36.00 51633358.64 54797.27 51442380.65 
37.00 54890463.61 59390.88 54684948.37 
38.00 58249187.09 64232.47 58028464.19 
39.00 61709227.89 69328.39 61472615.31 
40.00 65270261.48 74684.95 65017065.78 
41.00 68931941.76 80308.47 68661458.17 
42.00 72693902.73 86205.26 72405415.30 
43.00 76555760.02 92381.60 76248541.72 
44.00 80517112.25 98843.77 80190425.14 
45.00 84577542.41 105598.04 84230637.70 
46.00 88736619.02 112650.64 88368737.21 
47.00 92993897.29 120007.84 92604268.29 
48.00 97348920.16 127675.84 96936763.38 
49.00 101801219.30 135660.87 101365743.75 
50.00 106350315.96 143969.13 105890720.39 
51.00 110995721.91 152606.81 110511194.84 
52.00 115736940.15 161580.09 115226660.03 
53.00 120573465.72 170895.14 120036600.99 
54.00 125504786.31 180558.11 124940495.52 
55.00 130530383.02 190575.15 129937814.87 
56.00 135649730.84 200952.38 135028024.32 
57.00 140862299.31 211695.94 140210583.75 
58.00 146167553.01 222811.92 145484948.17 
59.00 151564952.08 234306.43 150850568.24 
60.00 157053952.65 246185.54 156306890.68 
61.00 162634007.29 258455.35 161853358.74 
62.00 168304565.47 271121.89 167489412.62 
63.00 174065073.85 284191.24 173214489.81 
64.00 179914976.73 297669.42 179028025.49 
65.00 185853716.34 311562.47 184929452.86 
66.00 191880733.16 325876.41 190918203.44 
67.00 197995466.25 340617.23 196993707.37 
68.00 204197353.49 355790.94 203155393.71 
69.00 210485831.88 371403.52 209402690.68 
70.00 216860337.77 387460.94 215735025.91 
71.00 223320307.07 403969.16 222151826.71 
72.00 229865175.54 420934.14 228652520.20 
73.00 236494378.91 438361.82 235236533.63 
74.00 243207353.14 456258.11 241903294.48 
75.00 250003534.56 474628.95 248652230.68 
76.00 256882360.08 493480.24 255482770.77 
77.00 263843267.30 512817.87 262394344.08 
78.00 270885694.71 532647.73 269386380.84 
79.00 278009081.81 552975.69 276458312.39 
80.00 285212869.24 573807.63 283609571.21 
81.00 292496498.91 595149.39 290839591.16 
82.00 299859414.14 617006.82 298147807.49 
83.00 307301059.73 639385.74 305533657.05 
84.00 314820882.08 662291.98 312996578.30 
85.00 322418329.30 685731.36 320536011.46 
86.00 330092851.30 709709.67 328151398.62 
87.00 337843899.85 734232.70 335842183.75 
88.00 345670928.69 759306.24 343607812.86 
89.00 353573393.60 784936.04 351447734.02 
90.00 361550752.44 811127.88 359361397.45 
91.00 369602465.26 837887.50 367348255.59 
92.00 377727994.33 865220.64 375407763.14 
93.00 385926804.21 893133.03 383539377.14 
94.00 394198361.80 921630.38 391742557.02 
95.00 402542136.39 950718.41 400016764.62 
96.00 410957599.71 980402.81 408361464.28 
97.00 419444225.96 1010689.27 416776122.84 
98.00 428001491.87 1041583.46 425260209.71 
99.00 436628876.71 1073091.07 433813196.88 
100.00 445325862.35 1105217.73 442434558.99 
101.00 454091933.27 1137969.10 451123773.31 
102.00 462926576.62 1171350.82 459880319.83 
103.00 471829282.20 1205368.52 468703681.22 
104.00 480799542.52 1240027.81 477593342.90 
105.00 489836852.82 1275334.30 486548793.04 
106.00 498940711.05 1311293.59 495569522.61 
107.00 508110617.97 1347911.27 504655025.33 
108.00 517346077.05 1385192.91 513804797.77 
109.00 526646594.61 1423144.08 523018339.31 
110.00 536011679.72 1461770.35 532295152.14 
111.00 545440844.31 1501077.26 541634741.34 
112.00 554933603.09 1541070.34 551036614.80 
113.00 564489473.62 1581755.14 560500283.31 
114.00 574107976.30 1623137.17 570025260.51 
115.00 583788634.37 1665221.94 579611062.92 
116.00 593530973.91 1708014.96 589257209.92 
117.00 603334523.85 1751521.70 598963223.81 
118.00 613198815.98 1795747.66 608728629.72 
119.00 623123384.94 1840698.31 618552955.72 
120.00 633107768.23 1886379.10 628435732.71 
121.00 643151506.18 1932795.50 638376494.52 
122.00 653254142.00 1979952.95 648374777.82 
123.00 663415221.72 2027856.87 658430122.19 
124.00 673634294.25 2076512.71 668542070.05 
125.00 683910911.31 2125925.86 678710166.73 
126.00 694244627.47 2176101.74 688933960.38 
127.00 704635000.13 2227045.74 699213002.04 
128.00 715081589.51 2278763.26 709546845.59 
129.00 725583958.65 2331259.67 719935047.76 
130.00 736141673.41 2384540.33 730377168.13 
131.00 746754302.45 2438610.62 740872769.07 
132.00 757421417.22 2493475.87 751421415.81 
133.00 768142591.96 2549141.44 762022676.39 
134.00 778917403.69 2605612.65 772676121.62 
135.00 789745432.19 2662894.83 783381325.15 
136.00 800626260.01 2720993.28 794137863.38 
137.00 811559472.43 2779913.33 804945315.50 
138.00 822544657.50 2839660.25 815803263.44 
139.00 833581405.96 2900239.34 826711291.91 
140.00 844669311.28 2961655.88 837668988.33 
141.00 855807969.64 3023915.13 848675942.88 
142.00 866996979.91 3087022.36 859731748.42 
143.00 878235943.63 3150982.81 870836000.54 
144.00 889524465.01 3215801.73 881988297.51 
145.00 900862150.93 3281484.35 893188240.27 
146.00 912248610.88 3348035.89 904435432.44 
147.00 923683457.01 3415461.57 915729480.27 
148.00 935166304.07 3483766.60 927069992.68 
149.00 946696769.42 3552956.16 938456581.18 
150.00 958274473.00 3623035.46 949888859.92 
151.00 969899037.34 3694009.67 961366445.62 
152.00 981570087.51 3765883.97 972888957.60 
153.00 993287251.15 3838663.50 984456017.76 
154.00 1005050158.42 3912353.44 996067250.52 
155.00 1016858442.00 3986958.91 1007722282.87 
156.00 1028711737.08 4062485.07 1019420744.32 
157.00 1040609681.34 4138937.03 1031162266.89 
158.00 1052551914.95 4216319.91 1042946485.09 
159.00 1064538080.52 4294638.83 1054773035.92 
160.00 1076567823.11 4373898.88 1066641558.86 
161.00 1088640790.24 4454105.16 1078551695.81 
162.00 1100756631.82 4535262.76 1090503091.14 
163.00 1112915000.18 4617376.74 1102495391.64 
164.00 1125115550.03 4700452.18 1114528246.50 
165.00 1137357938.46 4784494.13 1126601307.30 
166.00 1149641824.94 4869507.65 1138714228.02 
167.00 1161966871.25 4955497.77 1150866664.98 
168.00 1174332741.53 5042469.54 1163058276.87 
169.00 1186739102.22 5130427.96 1175288724.71 
170.00 1199185622.08 5219378.06 1187557671.83 
171.00 1211671972.13 5309324.86 1199864783.88 
172.00 1224197825.69 5400273.33 1212209728.80 
173.00 1236762858.33 5492228.49 1224592176.80 
174.00 1249366747.85 5585195.30 1237011800.35 
175.00 1262009174.30 5679178.75 1249468274.17 
176.00 1274689819.94 5774183.80 1261961275.22 
177.00 1287408369.21 5870215.41 1274490482.65 
178.00 1300164508.76 5967278.52 1287055577.86 
179.00 1312957927.40 6065378.09 1299656244.38 
180.00 1325788316.10 6164519.03 1312292167.97 
181.00 1338655367.96 6264706.27 1324963036.51 
182.00 1351558778.24 6365944.74 1337668540.05 
183.00 1364498244.27 6468239.34 1350408370.74 
184.00 1377473465.51 6571594.97 1363182222.88 
185.00 1390484143.50 6676016.52 1375989792.85 
186.00 1403529981.85 6781508.87 1388830779.13 
187.00 1416610686.22 6888076.90 1401704882.25 
188.00 1429725964.32 6995725.48 1414611804.84 
189.00 1442875525.89 7104459.46 1427551251.53 
190.00 1456059082.67 7214283.70 1440522929.02 
191.00 1469276348.43 7325203.04 1453526545.99 
192.00 1482527038.90 7437222.32 1466561813.16 
193.00 1495810871.80 7550346.35 1479628443.21 
194.00 1509127566.81 7664579.97 1492726150.81 
195.00 1522476845.54 7779927.97 1505854652.59 
196.00 1535858431.56 7896395.17 1519013667.13 
197.00 1549272050.33 8013986.36 1532202914.94 
198.00 1562717429.24 8132706.32 1545422118.45 
199.00 1576194297.57 8252559.84 1558671002.00 
200.00 1589702386.45 8373551.68 1571949291.84 
201.00 1603241428.93 8495686.61 1585256716.07 
